timestamp,step,tokens_seen,split,loss
1785851410.433005,150,615600,train,8.027352
1785851414.856367,175,718200,train,7.689465
1785851418.792792,200,820800,train,7.512735
1785851438.3627276,225,923400,train,7.489380
1785851442.2319074,250,1026000,train,7.423755
1785851443.236319,250,1026000,eval,7.424611
1785851447.6038835,275,1128600,train,7.354263
1785851453.3657453,300,1231200,train,7.257018
1785851477.6828399,325,1333800,train,7.212798
1785851486.4743686,350,1436400,train,7.260776
1785851495.3470812,375,1539000,train,7.042372
1785851503.556162,400,1641600,train,7.004513
1785851549.003858,425,1744200,train,7.016648
1785851562.947865,450,1846800,train,6.887538
1785851570.8089147,475,1949400,train,6.844055
1785851577.3481321,500,2052000,train,6.932114
1785851579.0962155,500,2052000,eval,6.772469
1785855024.335806,425,1744200,train,6.939728
1785855028.4694898,450,1846800,train,6.854976
1785855032.456318,475,1949400,train,6.809288
1785855036.4620032,500,2052000,train,6.871496
1785855037.52274,500,2052000,eval,6.848768
1785855057.512872,525,2154600,train,6.677006
1785855061.3297956,550,2257200,train,6.709900
1785855226.5688736,575,2359800,train,6.627537
1785855230.5348203,600,2462400,train,6.634308
1785855249.7824543,625,2565000,train,6.514732
1785855254.4048,650,2667600,train,6.503214
1785855258.380378,675,2770200,train,6.256740
1785855262.6183414,700,2872800,train,6.476938
1785855281.23865,725,2975400,train,6.468535
1785855285.2253468,750,3078000,train,6.565139
1785855286.2202363,750,3078000,eval,6.607420
1785855290.1058996,775,3180600,train,6.623261
1785855294.5552993,800,3283200,train,6.553336
1785855313.5548968,825,3385800,train,6.455957
1785855317.3255086,850,3488400,train,6.578121
1785855321.1586254,875,3591000,train,6.596273
1785855325.110296,900,3693600,train,6.465086
1785855345.6714194,925,3796200,train,6.611527
1785855349.4805484,950,3898800,train,6.570932
1785855353.3072999,975,4001400,train,6.652896
1785855357.0606046,1000,4104000,train,6.535696
1785855357.9419982,1000,4104000,eval,6.404857
1785855378.7299147,1025,4206600,train,6.417277
1785855382.456622,1050,4309200,train,6.428444
1785855386.3030715,1075,4411800,train,6.428427
1785855389.9867468,1100,4514400,train,6.402317
1785856347.3152914,1010,4145040,train,6.373581
1785856348.409506,1010,4145040,eval,6.397027
1785856375.3163078,1020,4186080,train,6.374064
1785856376.4574723,1020,4186080,eval,6.405154
1785856402.280189,1030,4227120,train,6.288964
1785856403.304613,1030,4227120,eval,6.402236
1785856719.2969728,1050,4309200,train,6.058486
1785856723.5861094,1075,4411800,train,6.156901
1785856727.5803206,1100,4514400,train,6.256262
1785856747.2177167,1125,4617000,train,6.245018
1785856751.0297813,1150,4719600,train,5.933251
1785856754.7615979,1175,4822200,train,6.191784
1785856758.6800542,1200,4924800,train,6.153587
1785856790.4762592,1225,5027400,train,6.271520
1785856822.2112856,1250,5130000,train,6.277828
1785856825.7716546,1250,5130000,eval,6.340561
1785856832.6761534,1275,5232600,train,6.159781
1785856836.8483932,1300,5335200,train,6.170843
1785861489.0388782,1325,5437800,train,6.052918
1785861492.7444777,1350,5540400,train,5.963242
1785861496.4888175,1375,5643000,train,6.022968
1785861500.0310564,1400,5745600,train,5.964074
1785861532.6777146,1425,5848200,train,5.676449
1785861536.4058447,1450,5950800,train,5.962835
1785861540.3404868,1475,6053400,train,5.936436
1785861544.2494106,1500,6156000,train,6.031907
1785861545.167819,1500,6156000,eval,6.299936
1785861574.1693597,1525,6258600,train,6.009105
1785861577.6249752,1550,6361200,train,5.935804
1785861581.106693,1575,6463800,train,5.934206
1785861584.6019397,1600,6566400,train,6.163238
1785861614.5485265,1625,6669000,train,6.159863
1785861618.1210468,1650,6771600,train,6.115166
1785861621.691079,1675,6874200,train,6.246433
1785861625.163548,1700,6976800,train,6.226546
1785861656.1385682,1725,7079400,train,6.271453
1785861659.697455,1750,7182000,train,6.144237
1785861660.534875,1750,7182000,eval,6.180506
1785861663.9987578,1775,7284600,train,6.197023
1785861667.4963474,1800,7387200,train,6.248514
1785861692.8836765,1825,7489800,train,6.165071
1785861696.3800988,1850,7592400,train,6.221708
1785861699.8522232,1875,7695000,train,6.162281
1785861703.3407938,1900,7797600,train,6.110893
1785861730.5091646,1925,7900200,train,6.151027
1785861734.0622716,1950,8002800,train,6.130257
